"variable_en","unit_en","name_en","description_en","method_en","sampling_period_en","topic_en","variable_fr","unit_fr","name_fr","description_fr","method_fr","sampling_period_fr","topic_fr","source","preferred_hydrological_month","is_date","to_normalise","palette","script_path"
"delta{tQJXA}_H1","day","Average change of the date of the annual maximum daily discharge between the near horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - date of maximum
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tQJXA}_H1","jour","Changement moyen de la date du débit journalier maximal annuel entre l'horizon proche et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tQJXA}_H.R"
"delta{tQJXA}_H2","day","Average change of the date of the annual maximum daily discharge between the middle horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - date of maximum
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tQJXA}_H2","jour","Changement moyen de la date du débit journalier maximal annuel entre l'horizon moyen et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tQJXA}_H.R"
"delta{tQJXA}_H3","day","Average change of the date of the annual maximum daily discharge between the distant horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - date of maximum
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tQJXA}_H3","jour","Changement moyen de la date du débit journalier maximal annuel entre l'horizon lointain et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tQJXA}_H.R"
"delta{tVCX10}_H1","day","Average change of the date of the annual maximum of the 10-day mean of daily flow between the near horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - date of the maximum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tVCX10}_H1","jour","Changement moyen de la date du maximum annuel de la moyenne sur 10 jours du débit journalier entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tVCX10}_H.R"
"delta{tVCX10}_H2","day","Average change of the date of the annual maximum of the 10-day mean of daily flow between the middle horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - date of the maximum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tVCX10}_H2","jour","Changement moyen de la date du maximum annuel de la moyenne sur 10 jours du débit journalier entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tVCX10}_H.R"
"delta{tVCX10}_H3","day","Average change of the date of the annual maximum of the 10-day mean of daily flow between the distant horizon and historical period","","1. no temporal aggregation - 10-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - date of the maximum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tVCX10}_H3","jour","Changement moyen de la date du maximum annuel de la moyenne sur 10 jours du débit journalier entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tVCX10}_H.R"
"delta{tVCX3}_H1","day","Average change of the date of the annual maximum of the 3-day mean of daily flow between the near horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - date of the maximum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tVCX3}_H1","jour","Changement moyen de la date du maximum annuel de la moyenne sur 3 jours du débit journalier entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tVCX3}_H.R"
"delta{tVCX3}_H2","day","Average change of the date of the annual maximum of the 3-day mean of daily flow between the middle horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - date of the maximum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tVCX3}_H2","jour","Changement moyen de la date du maximum annuel de la moyenne sur 3 jours du débit journalier entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tVCX3}_H.R"
"delta{tVCX3}_H3","day","Average change of the date of the annual maximum of the 3-day mean of daily flow between the distant horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - date of the maximum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of minimum monthly flows","Flow, High Flows, Seasonality","delta{tVCX3}_H3","jour","Changement moyen de la date du maximum annuel de la moyenne sur 3 jours du débit journalier entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - date du maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Saisonnalité",NA,9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/High_Flows/criteria/delta{tVCX3}_H.R"
"deltaQ01A_H1","%","Average change of annual flow exceeded 1 year in 100 between the near horizon and historical period","Annual flow with an exceedance probability of 1 % (99th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 1 %
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ01A_H1","%","Changement moyen du débit annuel dépassée 1 année sur 100 entre l'horizon proche et la période historique","Débit annuel avec une probabilité de dépassement de 1 % (centile 99 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 1 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ01A_H.R"
"deltaQ01A_H2","%","Average change of annual flow exceeded 1 year in 100 between the middle horizon and historical period","Annual flow with an exceedance probability of 1 % (99th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 1 %
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ01A_H2","%","Changement moyen du débit annuel dépassée 1 année sur 100 entre l'horizon moyen et la période historique","Débit annuel avec une probabilité de dépassement de 1 % (centile 99 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 1 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ01A_H.R"
"deltaQ01A_H3","%","Average change of annual flow exceeded 1 year in 100 between the distant horizon and historical period","Annual flow with an exceedance probability of 1 % (99th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 1 %
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ01A_H3","%","Changement moyen du débit annuel dépassée 1 année sur 100 entre l'horizon lointain et la période historique","Débit annuel avec une probabilité de dépassement de 1 % (centile 99 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 1 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ01A_H.R"
"deltaQ05A_H1","%","Average change of annual flow exceeded 1 year in 20 between the near horizon and historical period","Annual flow with an exceedance probability of 5 % (95th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 5 %
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ05A_H1","%","Changement moyen du débit annuel dépassée 1 année sur 20 entre l'horizon proche et la période historique","Débit annuel avec une probabilité de dépassement de 5 % (centile 95 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 5 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ05A_H.R"
"deltaQ05A_H2","%","Average change of annual flow exceeded 1 year in 20 between the middle horizon and historical period","Annual flow with an exceedance probability of 5 % (95th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 5 %
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ05A_H2","%","Changement moyen du débit annuel dépassée 1 année sur 20 entre l'horizon moyen et la période historique","Débit annuel avec une probabilité de dépassement de 5 % (centile 95 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 5 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ05A_H.R"
"deltaQ05A_H3","%","Average change of annual flow exceeded 1 year in 20 between the distant horizon and historical period","Annual flow with an exceedance probability of 5 % (95th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 5 %
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ05A_H3","%","Changement moyen du débit annuel dépassée 1 année sur 20 entre l'horizon lointain et la période historique","Débit annuel avec une probabilité de dépassement de 5 % (centile 95 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 5 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ05A_H.R"
"deltaQ10A_H1","%","Average change of annual flow exceeded 1 year in 10 between the near horizon and historical period","Annual flow with an exceedance probability of 10 % (90th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 10 %
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ10A_H1","%","Changement moyen du débit annuel dépassée 1 année sur 10 entre l'horizon proche et la période historique","Débit annuel avec une probabilité de dépassement de 10 % (centile 90 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 10 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ10A_H.R"
"deltaQ10A_H2","%","Average change of annual flow exceeded 1 year in 10 between the middle horizon and historical period","Annual flow with an exceedance probability of 10 % (90th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 10 %
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ10A_H2","%","Changement moyen du débit annuel dépassée 1 année sur 10 entre l'horizon moyen et la période historique","Débit annuel avec une probabilité de dépassement de 10 % (centile 90 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 10 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ10A_H.R"
"deltaQ10A_H3","%","Average change of annual flow exceeded 1 year in 10 between the distant horizon and historical period","Annual flow with an exceedance probability of 10 % (90th percentile)","1. annual aggregation [01-01, 12-31] - quantile at the exceedance probability of 10 %
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","01-01, 12-31","Flow, High Flows, Intensity","deltaQ10A_H3","%","Changement moyen du débit annuel dépassée 1 année sur 10 entre l'horizon lointain et la période historique","Débit annuel avec une probabilité de dépassement de 10 % (centile 90 %)","1. agrégation annuelle [01-01, 31-12] - quantile à la probabilité de dépassement de 10 %
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-01, 31-12","Débit, Hautes Eaux, Intensité",NA,1,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQ10A_H.R"
"deltaQJXA_H1","%","Average change of annual maximum daily flow between the near horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaQJXA_H1","%","Changement moyen du débit journalier maximal annuel entre l'horizon proche et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQJXA_H.R"
"deltaQJXA_H2","%","Average change of annual maximum daily flow between the middle horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaQJXA_H2","%","Changement moyen du débit journalier maximal annuel entre l'horizon moyen et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQJXA_H.R"
"deltaQJXA_H3","%","Average change of annual maximum daily flow between the distant horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaQJXA_H3","%","Changement moyen du débit journalier maximal annuel entre l'horizon lointain et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQJXA_H.R"
"deltaQJXA-10_H1","%","Change of annual maximum daily flow with a 10-year return period between the near horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the QJXA series)
2. no temporal aggregation - calculation of the 10-year return period flow with the Gumbel distribution on the historical period and in the near horizon then calculation of the average change","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaQJXA-10_H1","%","Changement du débit journalier maximal annuel de période de retour 10 ans entre l'horizon proche et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - calcul du débit de période de retour 10 ans avec la loi de Gumbel sur la période historique et en horizon proche puis calcul du changement moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensity",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQJXA-10_H.R"
"deltaQJXA-10_H2","%","Change of annual maximum daily flow with a 10-year return period between the middle horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the QJXA series)
2. no temporal aggregation - calculation of the 10-year return period flow with the Gumbel distribution on the historical period and in the middle horizon then calculation of the average change","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaQJXA-10_H2","%","Changement du débit journalier maximal annuel de période de retour 10 ans entre l'horizon moyen et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - calcul du débit de période de retour 10 ans avec la loi de Gumbel sur la période historique et en horizon moyen puis calcul du changement moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensity",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQJXA-10_H.R"
"deltaQJXA-10_H3","%","Change of annual maximum daily flow with a 10-year return period between the distant horizon and historical period","","1. annual aggregation [Month of minimum monthly flows] - maximum (extraction from the QJXA series)
2. no temporal aggregation - calculation of the 10-year return period flow with the Gumbel distribution on the historical period and in the distant horizon then calculation of the average change","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaQJXA-10_H3","%","Changement du débit journalier maximal annuel de période de retour 10 ans entre l'horizon lointain et la période historique","","1. agrégation annuelle [Mois du minimum des débits mensuels] - maximum (extraction de la série des QJXA)
2. aucune agrégation temporelle - calcul du débit de période de retour 10 ans avec la loi de Gumbel sur la période historique et en horizon lointain puis calcul du changement moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensity",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaQJXA-10_H.R"
"deltaVCX10_H1","%","Average change of annual maximum of the 10-day moving average of daily flows between the near horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - maximum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaVCX10_H1","%","Changement moyen du maximum annuel de la moyenne mobile sur 10 jours des débits journaliers entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaVCX10_H.R"
"deltaVCX10_H2","%","Average change of annual maximum of the 10-day moving average of daily flows between the middle horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - maximum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaVCX10_H2","%","Changement moyen du maximum annuel de la moyenne mobile sur 10 jours des débits journaliers entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaVCX10_H.R"
"deltaVCX10_H3","%","Average change of annual maximum of the 10-day moving average of daily flows between the distant horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - maximum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaVCX10_H3","%","Changement moyen du maximum annuel de la moyenne mobile sur 10 jours des débits journaliers entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 10 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaVCX10_H.R"
"deltaVCX3_H1","%","Average change of annual maximum of the 3-day moving average of daily flows between the near horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - maximum
3. no temporal aggregation - calculation of the average change between the historical period and the near horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaVCX3_H1","%","Changement moyen du maximum annuel de la moyenne mobile sur 3 jours des débits journaliers entre l'horizon proche et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaVCX3_H.R"
"deltaVCX3_H2","%","Average change of annual maximum of the 3-day moving average of daily flows between the middle horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - maximum
3. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaVCX3_H2","%","Changement moyen du maximum annuel de la moyenne mobile sur 3 jours des débits journaliers entre l'horizon moyen et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaVCX3_H.R"
"deltaVCX3_H3","%","Average change of annual maximum of the 3-day moving average of daily flows between the distant horizon and historical period","","1. no temporal aggregation - 3-day centered moving average
2. annual aggregation [Month of minimum monthly flows] - maximum
3. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","Month of minimum monthly flows","Flow, High Flows, Intensity","deltaVCX3_H3","%","Changement moyen du maximum annuel de la moyenne mobile sur 3 jours des débits journaliers entre l'horizon lointain et la période historique","","1. aucune agrégation temporelle - moyenne mobile centrée sur 3 jours
2. agrégation annuelle [Mois du minimum des débits mensuels] - maximum
3. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","Mois du minimum des débits mensuels","Débit, Hautes Eaux, Intensité",NA,9,FALSE,TRUE,"#452C1A #7F4A23 #B3762A #D4B86A #EFE0B0 #BCE6DB #7ACEB9 #449C93 #2A6863 #193830","Flow/High_Flows/criteria/deltaVCX3_H.R"
